aso,brand,capacity,color,condition,features,first_owner,fuel_type,horse_power,mileage,model,no_accidents,number_of_doors,origin_country,price,price_currency,transmission,type,url,version,year
Tak,Rolls-Royce,6 749 cm3,Bordowy,Używane,,Tak,Benzyna,571 KM,38 000 km,Cullinan,Tak,5,Polska,1890000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-cullinan-rr-be-spoke-panorama-salon-polska-fv23-ID6Eb6rB.html,Standard,2018
Tak,Rolls-Royce,6 592 cm3,Czarny,Używane,,Tak,Benzyna,571 KM,8 500 km,Ghost,,4,Polska,1679000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-ghost-571km-black-diamond-gwiazdy-gwarancja-salon-pl-fv23-ID6Dydft.html,,2019
Tak,Rolls-Royce,6 592 cm3,Czarny,Używane,,Tak,Benzyna,632 KM,68 000 km,Wraith,Tak,2,Polska,1299000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-wraith-lift-black-badge-starlight-night-vision-head-up-s-polska-f-vat-23-ID6E8otN.html,Black Badge,2017
,Rolls-Royce,6 592 cm3,Niebieski,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Komputer pokładowy,Nawigacja GPS,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka skórzana,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła LED,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),HUD (wyświetlacz przezierny),Klimatyzacja czterostrefowa,MP3,Podgrzewane przednie siedzenia,Regulowane zawieszenie,Światła przeciwmgielne,Wielofunkcyjna kierownica",,Benzyna,624 KM,3 km,Wraith,Tak,2,Polska,2101970,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-wraith-salamanca-blue-ID6DhiQ5.html,,2019
Tak,Rolls-Royce,6 592 cm3,Biały,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Klimatyzacja czterostrefowa,MP3,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła przeciwmgielne,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo USB,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Podgrzewane przednie siedzenia,Regulowane zawieszenie,Tapicerka skórzana,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),HUD (wyświetlacz przezierny),Klimatyzacja automatyczna,Kurtyny powietrzne,Odtwarzacz DVD,Poduszki boczne przednie,Światła LED,Tempomat aktywny",Tak,Benzyna,632 KM,4 950 km,Wraith,,2,Polska,1650000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-wraith-english-white-jubilee-silver-ID6CTC26.html,,2018
,Rolls-Royce,6 592 cm3,Niebieski,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Komputer pokładowy,Nawigacja GPS,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka skórzana,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła LED,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),HUD (wyświetlacz przezierny),Klimatyzacja czterostrefowa,MP3,Podgrzewane przednie siedzenia,Regulowane zawieszenie,Światła przeciwmgielne,Wielofunkcyjna kierownica",,Benzyna,624 KM,3 km,Wraith,Tak,2,Polska,2101970,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-wraith-salamanca-blue-ID6DhiQ5.html,,2019
,Rolls-Royce,6 592 cm3,Niebieski,Nowe,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Komputer pokładowy,Nawigacja GPS,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka skórzana,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła LED,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),HUD (wyświetlacz przezierny),Klimatyzacja czterostrefowa,MP3,Podgrzewane przednie siedzenia,Regulowane zawieszenie,Światła przeciwmgielne,Wielofunkcyjna kierownica",,Benzyna,624 KM,3 km,Wraith,Tak,2,Polska,2101970,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-wraith-salamanca-blue-ID6DhiQ5.html,,2019
,Rolls-Royce,6 750 cm3,Inny kolor,Używane,,,Benzyna,218 KM,70 000 km,Silver Spur,,4,Szwajcaria,120000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-silver-spur-ze-szwajcarii-niski-przebieg-zarejestrowany-ID6DBmNi.html,,1987
Tak,Rolls-Royce,6 592 cm3,Niebieski,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,HUD (wyświetlacz przezierny),Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Isofix,Klimatyzacja czterostrefowa,MP3,Podgrzewane przednie siedzenia,Przyciemniane szyby,Światła LED,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo USB,Kamera cofania,Komputer pokładowy,Odtwarzacz DVD,Podgrzewane tylne siedzenia,Regulowane zawieszenie,Światła przeciwmgielne,Tuner TV",Tak,Benzyna,570 KM,1 785 km,Ghost,Tak,4,Polska,1790000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-ghost-midnight-sapphire-ID6BrG38.html,,2018
Tak,Rolls-Royce,6 592 cm3,Niebieski,Używane,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,HUD (wyświetlacz przezierny),Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Isofix,Klimatyzacja czterostrefowa,MP3,Podgrzewane przednie siedzenia,Przyciemniane szyby,Światła LED,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo USB,Kamera cofania,Komputer pokładowy,Odtwarzacz DVD,Podgrzewane tylne siedzenia,Regulowane zawieszenie,Światła przeciwmgielne,Tuner TV",Tak,Benzyna,570 KM,1 785 km,Ghost,Tak,4,Polska,1790000,PLN,Automatyczna,,https://www.otomoto.pl/oferta/rolls-royce-ghost-midnight-sapphire-ID6BrG38.html,,2018
